lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0.3,0.291962714,0.000475272,-0.970798079,0.175614949,0.418939301
0.3,0.310682287,0.017104832,-1.043742562,0.204588133,0.422846081
0.3,0.273405092,0.034935833,0.250605663,0.180271211,0.381904138
0.3,0.404653452,0.052138322,1.746138719,0.301869075,0.508829754
0.35,0.363971824,0.015696334,-0.791373373,0.263199826,0.470406969
0.35,0.388132756,0.030425599,2.007493176,0.287252206,0.492983375
0.35,0.352685728,0.022409168,-0.607835179,0.251635489,0.460763135
0.35,0.346833744,0.033964026,2.207407028,0.252034156,0.452470026
0.35,0.353504392,0.034883394,1.082626366,0.245568417,0.469689792
0.35,0.408549738,0.045249328,2.004351038,0.296896295,0.518252903
0.35,0.354762838,0.023592347,0.949942165,0.251147918,0.465893115
0.35,0.306233198,0.047617774,1.060214104,0.21181001,0.409052932
0.35,0.418144829,0.0406572,0.958661751,0.319335148,0.517219868
0.35,0.33006897,0.027798422,-0.060369249,0.238676854,0.430211729
0.35,0.351641191,0.026946657,-0.463346609,0.247926946,0.460723542
0.35,0.42841852,0.052750252,3.842541924,0.313574946,0.543522513
0.35,0.315866151,0.04008663,0.75841521,0.209908741,0.432027113
0.35,0.39573509,0.01902336,0.646867598,0.297099156,0.499076764
0.35,0.357962574,0.023101135,0.055152109,0.256988582,0.461483153
0.35,0.384770958,0.010420708,0.178378248,0.274290309,0.497330541
0.35,0.389634754,0.043798386,2.305880696,0.29000973,0.495155758
0.35,0.471566389,0.013442877,0.376964489,0.365223787,0.574436804
0.35,0.2429722,0.03297622,1.383344291,0.151376069,0.355465089
0.35,0.300637819,0.025681129,0.400724344,0.20783675,0.402909887
0.35,0.330155075,0.056590267,2.449837984,0.237268835,0.433759698
0.35,0.31530791,0.038208177,0.96730599,0.217027697,0.423178681
0.35,0.314024597,0.067461343,2.439611231,0.217108682,0.42265682
0.35,0.35900506,0.027276658,0.938455578,0.267570547,0.456929213
0.35,0.404794869,0.050898996,1.899334064,0.302564673,0.510749613
0.35,0.209301075,0.007992713,-1.152340517,0.11006988,0.333505667
0.35,0.17734274,0.009375922,-0.16351152,0.088713091,0.291051316
0.35,0.322769717,0.017535708,0.031069901,0.21584872,0.438074435
0.35,0.349131935,0.034545337,1.630738539,0.241648293,0.463041928
0.35,0.387537898,0.049639271,1.938023943,0.286390889,0.492675587
0.35,0.385667709,0.008566814,-1.055060753,0.269383127,0.501018568
0.35,0.378090836,0.062407668,2.39855166,0.268898038,0.489911178
0.35,0.352199817,0.013836349,-1.380276737,0.262432332,0.449089389
0.35,0.294842765,0.054271801,1.782455748,0.204385706,0.398332163
0.35,0.364016855,0.043781659,2.282893906,0.253711864,0.478962557
0.35,0.394401643,0.033376996,1.710979757,0.278113825,0.511795144
0.35,0.330753255,0.052910242,2.060535442,0.239514253,0.430912927
0.35,0.474199575,0.041890362,2.19948122,0.372985986,0.57253135
0.35,0.392280419,0.039996158,2.303815175,0.290395696,0.497494653
0.35,0.31266892,0.027658771,0.650614616,0.205164995,0.434574683
0.35,0.346792595,0.027437822,1.484747034,0.253888238,0.448933074
0.35,0.297397283,0.049175193,2.082129793,0.205395681,0.401105894
0.35,0.425637534,0.010556406,0.543745902,0.326524766,0.526362109
0.35,0.351454861,0.046146419,1.69039356,0.250809854,0.457031905
0.35,0.326765941,0.025307384,-0.185481295,0.21977892,0.445588806
0.35,0.387382227,0.033078589,1.910814977,0.290302322,0.489797334
0.35,0.29981308,0.035747363,1.734435514,0.193145383,0.421574887
0.35,0.317062953,0.051352787,1.875734097,0.221577808,0.425055483
0.35,0.299520804,0.002385347,-0.457513813,0.185500834,0.420258686
0.35,0.223885064,0.006388111,0.360281385,0.132494472,0.339470896
0.4,0.396729135,0.051499724,2.011698886,0.294305128,0.501492617
0.4,0.321769121,0.057627887,3.105207406,0.228676047,0.425802482
0.4,0.291448786,0.038265799,2.338689051,0.200076052,0.39473671
0.4,0.410242879,0.052022522,2.637853498,0.311524517,0.510040207
0.4,0.391893409,0.026093183,1.089125513,0.28814401,0.498754067
0.4,0.474068187,0.075033944,3.185615271,0.374212993,0.57207784
0.4,0.392979869,0.019132177,-0.883685669,0.291180457,0.49920894
0.4,0.352582913,0.039978679,1.546313844,0.229358503,0.479628661
0.4,0.443884083,0.022838201,-0.061098201,0.34409503,0.544147976
0.4,0.504751957,0.035901762,2.259939243,0.397800006,0.606455227
0.4,0.478762035,0.041009677,2.265679907,0.372721049,0.582172829
0.4,0.357859454,0.043425445,1.168538229,0.263383815,0.459978553
